,sample,Region,pixel (bin1),area (mm2),cellnum,cell_density_mm2,group
0,HC1,All,43271997.5,10.817999375,9476,875.9475455229448,HC
1,HC1,Epi,2118634.5,0.529658625,3228,6094.491522723716,HC
2,HC1,Der,41174147.0,10.29353675,6248,606.9828234692999,HC
3,HC2,All,114963765.5,28.740941375,13120,456.49165866961795,HC
4,HC2,Epi,2764506.0,0.6911265,5081,7351.765559561094,HC
5,HC2,Der,112228572.0,28.057143,8039,286.5224017997841,HC
6,HC3,All,88352204.0,22.088051,13483,610.420539141276,HC
7,HC3,Epi,2991449.0,0.74786225,6502,8694.114457575577,HC
8,HC3,Der,85404488.5,21.351122125,6981,326.9617380824194,HC
9,HC4,All,35274726.5,8.818681625,5022,569.472877415506,HC
10,HC4,Epi,979191.5,0.244797875,1317,5379.948661727558,HC
11,HC4,Der,34312157.0,8.57803925,3705,431.9168859014022,HC
12,DLE1,All,83455041.5,20.863760375,34312,1644.5741028119915,DLE
13,DLE1,Epi,2475264.0,0.618816,2817,4552.241700279243,DLE
14,DLE1,Der,81002838.5,20.250709625,31495,1555.2541408780385,DLE
15,DLE2,All,33062968.0,8.265742,18006,2178.3888246209476,DLE
16,DLE2,Epi,10191668.0,2.547917,8869,3480.8826190178092,DLE
17,DLE2,Der,22918101.0,5.72952525,9137,1594.7220059812112,DLE
18,DLE3,All,45286865.5,11.321716375,26436,2334.981651578425,DLE
19,DLE3,Epi,3603879.5,0.900969875,3837,4258.743945240122,DLE
20,DLE3,Der,41704866.0,10.4262165,22599,2167.516855227397,DLE
21,DLE4,All,45666026.5,11.416506625,28571,2502.60442519561,DLE
22,DLE4,Epi,2924553.5,0.731138375,3674,5025.040574569759,DLE
23,DLE4,Der,42761063.5,10.690265875,24897,2328.9411405775722,DLE
24,DLE5,All,47195622.5,11.798905625,26256,2225.291127370976,DLE
25,DLE5,Epi,3972587.5,0.993146875,6828,6875.116029539941,DLE
26,DLE5,Der,43253196.5,10.813299125,19428,1796.6764606634333,DLE
27,SLE1,All,31091302.0,7.7728255,11221,1443.619183268684,SLE
28,SLE1,Epi,1080911.0,0.27022775,2234,8267.100621605294,SLE
29,SLE1,Der,30021140.5,7.505285125,8987,1197.4228627323469,SLE
30,SLE2,All,62323969.5,15.580992375,45132,2896.606256762898,SLE
31,SLE2,Epi,5176926.5,1.294231625,7084,5473.517926128562,SLE
32,SLE2,Der,57177726.0,14.2944315,38048,2661.7357955089014,SLE
33,SLE3,All,13710315.5,3.427578875,9946,2901.7567101209306,SLE
34,SLE3,Epi,2202588.0,0.550647,3753,6815.618717617639,SLE
35,SLE3,Der,11520896.0,2.880224,6193,2150.1799860010888,SLE
36,SLE4,All,35300182.0,8.8250455,25479,2887.123924743504,SLE
37,SLE4,Epi,3527908.0,0.881977,6575,7454.842926742987,SLE
38,SLE4,Der,31793100.0,7.948275,18904,2378.3776983056073,SLE
39,SLE5,All,49200610.5,12.300152625,38358,3118.4978893707016,SLE
40,SLE5,Epi,2662844.0,0.665711,4368,6561.405775178719,SLE
41,SLE5,Der,46556558.5,11.639139625,33990,2920.3189492625406,SLE
42,SLE6,All,18822680.5,4.705670125,6997,1486.9295581997474,SLE
43,SLE6,Epi,1239475.5,0.309868875,1937,6251.031182141156,SLE
44,SLE6,Der,17593329.5,4.398332375,5060,1150.4360217888263,SLE
