,sample,Region,celltype,pixel (bin1),area (mm2),cellnum,cell_density_mm2,group
0,HC1,All,Keratinocytes,43271997.5,10.817999375,4564,421.88946789433516,HC
1,HC1,All,Melanocytes,43271997.5,10.817999375,278,25.697912373931896,HC
2,HC1,All,Schwann cells,43271997.5,10.817999375,187,17.286005805486564,HC
3,HC1,All,Sweat gland cells,43271997.5,10.817999375,343,31.70641706567856,HC
4,HC1,All,Fibroblasts,43271997.5,10.817999375,1778,164.3557129527011,HC
5,HC1,All,Endothelial cells,43271997.5,10.817999375,995,91.97634105058359,HC
6,HC1,All,Smooth muscle cells,43271997.5,10.817999375,521,48.16047606769251,HC
7,HC1,All,T cells,43271997.5,10.817999375,86,7.949713899849435,HC
8,HC1,All,NK cells,43271997.5,10.817999375,11,1.0168238709109743,HC
9,HC1,All,B cells,43271997.5,10.817999375,78,7.210205630096,HC
10,HC1,All,Plasma cells,43271997.5,10.817999375,156,14.420411260192,HC
11,HC1,All,Macrophage/DC,43271997.5,10.817999375,352,32.538363869151176,HC
12,HC1,All,Mast cells,43271997.5,10.817999375,127,11.739693782335793,HC
13,HC1,Epi,Keratinocytes,2118634.5,0.529658625,2234,4217.811047634691,HC
14,HC1,Epi,Melanocytes,2118634.5,0.529658625,120,226.56102314958054,HC
15,HC1,Epi,Schwann cells,2118634.5,0.529658625,66,124.60856273226929,HC
16,HC1,Epi,Sweat gland cells,2118634.5,0.529658625,131,247.32911693829206,HC
17,HC1,Epi,Fibroblasts,2118634.5,0.529658625,326,615.4907795563604,HC
18,HC1,Epi,Endothelial cells,2118634.5,0.529658625,210,396.4817905117659,HC
19,HC1,Epi,Smooth muscle cells,2118634.5,0.529658625,33,62.304281366134646,HC
20,HC1,Epi,T cells,2118634.5,0.529658625,6,11.328051157479026,HC
21,HC1,Epi,NK cells,2118634.5,0.529658625,1,1.8880085262465043,HC
22,HC1,Epi,B cells,2118634.5,0.529658625,9,16.99207673621854,HC
23,HC1,Epi,Plasma cells,2118634.5,0.529658625,7,13.21605968372553,HC
24,HC1,Epi,Macrophage/DC,2118634.5,0.529658625,65,122.72055420602278,HC
25,HC1,Epi,Mast cells,2118634.5,0.529658625,20,37.76017052493009,HC
26,HC1,Der,Keratinocytes,41174147.0,10.29353675,2330,226.35563039108013,HC
27,HC1,Der,Melanocytes,41174147.0,10.29353675,158,15.349437597335047,HC
28,HC1,Der,Schwann cells,41174147.0,10.29353675,121,11.754949046060384,HC
29,HC1,Der,Sweat gland cells,41174147.0,10.29353675,212,20.595447915411583,HC
30,HC1,Der,Fibroblasts,41174147.0,10.29353675,1452,141.0593885527246,HC
31,HC1,Der,Endothelial cells,41174147.0,10.29353675,785,76.26144629055703,HC
32,HC1,Der,Smooth muscle cells,41174147.0,10.29353675,488,47.408389541136096,HC
33,HC1,Der,T cells,41174147.0,10.29353675,80,7.771867137891163,HC
34,HC1,Der,NK cells,41174147.0,10.29353675,10,0.9714833922363953,HC
35,HC1,Der,B cells,41174147.0,10.29353675,69,6.703235406431128,HC
36,HC1,Der,Plasma cells,41174147.0,10.29353675,149,14.475102544322292,HC
37,HC1,Der,Macrophage/DC,41174147.0,10.29353675,287,27.881573357184546,HC
38,HC1,Der,Mast cells,41174147.0,10.29353675,107,10.39487229692943,HC
39,HC2,All,Keratinocytes,114963765.5,28.740941375,7698,267.84091375295117,HC
40,HC2,All,Melanocytes,114963765.5,28.740941375,261,9.081122173229444,HC
41,HC2,All,Schwann cells,114963765.5,28.740941375,104,3.618531440673801,HC
42,HC2,All,Sweat gland cells,114963765.5,28.740941375,1245,43.31799657345079,HC
43,HC2,All,Fibroblasts,114963765.5,28.740941375,1304,45.370817294602276,HC
44,HC2,All,Endothelial cells,114963765.5,28.740941375,862,29.99205867173862,HC
45,HC2,All,Smooth muscle cells,114963765.5,28.740941375,191,6.645572165083616,HC
46,HC2,All,T cells,114963765.5,28.740941375,87,3.0270407244098143,HC
47,HC2,All,NK cells,114963765.5,28.740941375,21,0.7306650024437483,HC
48,HC2,All,B cells,114963765.5,28.740941375,42,1.4613300048874966,HC
49,HC2,All,Plasma cells,114963765.5,28.740941375,392,13.639080045616634,HC
50,HC2,All,Macrophage/DC,114963765.5,28.740941375,791,27.521715092047852,HC
51,HC2,All,Mast cells,114963765.5,28.740941375,122,4.244815728482728,HC
52,HC2,Epi,Keratinocytes,2764506.0,0.6911265,4726,6838.1114021818,HC
53,HC2,Epi,Melanocytes,2764506.0,0.6911265,152,219.93079414550013,HC
54,HC2,Epi,Schwann cells,2764506.0,0.6911265,29,41.96048046197042,HC
55,HC2,Epi,Sweat gland cells,2764506.0,0.6911265,22,31.83208862632239,HC
56,HC2,Epi,Fibroblasts,2764506.0,0.6911265,51,73.79256908829281,HC
57,HC2,Epi,Endothelial cells,2764506.0,0.6911265,22,31.83208862632239,HC
58,HC2,Epi,Smooth muscle cells,2764506.0,0.6911265,6,8.681478716269742,HC
59,HC2,Epi,T cells,2764506.0,0.6911265,12,17.362957432539485,HC
60,HC2,Epi,NK cells,2764506.0,0.6911265,1,1.4469131193782905,HC
61,HC2,Epi,B cells,2764506.0,0.6911265,4,5.787652477513162,HC
62,HC2,Epi,Plasma cells,2764506.0,0.6911265,9,13.022218074404615,HC
63,HC2,Epi,Macrophage/DC,2764506.0,0.6911265,42,60.770351013888195,HC
64,HC2,Epi,Mast cells,2764506.0,0.6911265,5,7.234565596891452,HC
65,HC2,Der,Keratinocytes,112228572.0,28.057143,2972,105.92667970505764,HC
66,HC2,Der,Melanocytes,112228572.0,28.057143,109,3.884928697123581,HC
67,HC2,Der,Schwann cells,112228572.0,28.057143,75,2.673116076002464,HC
68,HC2,Der,Sweat gland cells,112228572.0,28.057143,1223,43.58961281268018,HC
69,HC2,Der,Fibroblasts,112228572.0,28.057143,1253,44.65885924308117,HC
70,HC2,Der,Endothelial cells,112228572.0,28.057143,840,29.938900051227595,HC
71,HC2,Der,Smooth muscle cells,112228572.0,28.057143,185,6.593686320806078,HC
72,HC2,Der,T cells,112228572.0,28.057143,75,2.673116076002464,HC
73,HC2,Der,NK cells,112228572.0,28.057143,20,0.7128309536006571,HC
74,HC2,Der,B cells,112228572.0,28.057143,38,1.3543788118412483,HC
75,HC2,Der,Plasma cells,112228572.0,28.057143,383,13.650712761452583,HC
76,HC2,Der,Macrophage/DC,112228572.0,28.057143,749,26.695519212344607,HC
77,HC2,Der,Mast cells,112228572.0,28.057143,117,4.170061078563844,HC
78,HC3,All,Keratinocytes,88352204.0,22.088051,8153,369.1135990223855,HC
79,HC3,All,Melanocytes,88352204.0,22.088051,199,9.009396075733436,HC
80,HC3,All,Schwann cells,88352204.0,22.088051,56,2.535307438397349,HC
81,HC3,All,Sweat gland cells,88352204.0,22.088051,164,7.424828926735093,HC
