,sample,Depth_bin,subtype,count,proportion,group
0,DLE1,"(0.5, 0.6]",Spinous KC-3,201,7.78767919411081,DLE
1,DLE1,"(0.5, 0.6]",Granular KC,3,0.1162340178225494,DLE
2,DLE1,"(0.5, 0.6]",Basal KC,42,1.6272762495156916,DLE
3,DLE1,"(0.5, 0.6]",Spinous KC-2,4,0.15497869043006587,DLE
4,DLE1,"(0.5, 0.6]",Channel KC,2,0.07748934521503294,DLE
5,DLE1,"(0.5, 0.6]",Spinous KC-1,1,0.03874467260751647,DLE
6,DLE1,"(0.5, 0.6]",Cycling KC,3,0.1162340178225494,DLE
7,DLE1,"(0.5, 0.6]",ORS,0,0.0,DLE
8,DLE1,"(0.5, 0.6]",Spinous KC-4,2,0.07748934521503294,DLE
9,DLE1,"(0.5, 0.6]",HF-SG,0,0.0,DLE
10,DLE1,"(0.5, 0.6]",OB,0,0.0,DLE
11,DLE1,"(0.5, 0.6]",Stress KC,2,0.07748934521503294,DLE
12,DLE1,"(0.5, 0.6]",IRS,0,0.0,DLE
13,DLE1,"(0.1, 0.2]",Spinous KC-3,112,4.339403332041845,DLE
14,DLE1,"(0.1, 0.2]",Granular KC,19,0.7361487795428129,DLE
15,DLE1,"(0.1, 0.2]",Basal KC,1,0.03874467260751647,DLE
16,DLE1,"(0.1, 0.2]",Spinous KC-2,2,0.07748934521503294,DLE
17,DLE1,"(0.1, 0.2]",Channel KC,0,0.0,DLE
18,DLE1,"(0.1, 0.2]",Spinous KC-1,0,0.0,DLE
19,DLE1,"(0.1, 0.2]",Cycling KC,0,0.0,DLE
20,DLE1,"(0.1, 0.2]",ORS,0,0.0,DLE
21,DLE1,"(0.1, 0.2]",Spinous KC-4,0,0.0,DLE
22,DLE1,"(0.1, 0.2]",HF-SG,0,0.0,DLE
23,DLE1,"(0.1, 0.2]",OB,0,0.0,DLE
24,DLE1,"(0.1, 0.2]",Stress KC,0,0.0,DLE
25,DLE1,"(0.1, 0.2]",IRS,0,0.0,DLE
26,DLE1,"(0.7, 0.8]",Spinous KC-3,97,3.7582332429290974,DLE
27,DLE1,"(0.7, 0.8]",Granular KC,10,0.38744672607516467,DLE
28,DLE1,"(0.7, 0.8]",Basal KC,253,9.802402169701667,DLE
29,DLE1,"(0.7, 0.8]",Spinous KC-2,16,0.6199147617202635,DLE
30,DLE1,"(0.7, 0.8]",Channel KC,4,0.15497869043006587,DLE
31,DLE1,"(0.7, 0.8]",Spinous KC-1,3,0.1162340178225494,DLE
32,DLE1,"(0.7, 0.8]",Cycling KC,8,0.30995738086013175,DLE
33,DLE1,"(0.7, 0.8]",ORS,0,0.0,DLE
34,DLE1,"(0.7, 0.8]",Spinous KC-4,10,0.38744672607516467,DLE
35,DLE1,"(0.7, 0.8]",HF-SG,0,0.0,DLE
36,DLE1,"(0.7, 0.8]",OB,2,0.07748934521503294,DLE
37,DLE1,"(0.7, 0.8]",Stress KC,1,0.03874467260751647,DLE
38,DLE1,"(0.7, 0.8]",IRS,1,0.03874467260751647,DLE
39,DLE1,"(0.4, 0.5]",Spinous KC-3,209,8.097636574970942,DLE
