,Depth_bin,sample,expression,gene,group
0,0.0-0.1,DLE1,0.113469066046985,IL36RN,DLE
1,0.0-0.1,DLE2,0.6805796387987807,IL36RN,DLE
2,0.0-0.1,DLE3,1.0422974528127769,IL36RN,DLE
3,0.0-0.1,DLE4,1.2447780199987033,IL36RN,DLE
4,0.0-0.1,DLE5,0.6610752745311734,IL36RN,DLE
5,0.0-0.1,HC1,0.15518672814558107,IL36RN,HC
6,0.0-0.1,HC2,0.08577656038469827,IL36RN,HC
7,0.0-0.1,HC3,0.1048291938322312,IL36RN,HC
8,0.0-0.1,HC4,0.11057974869064928,IL36RN,HC
9,0.0-0.1,SLE1,0.5094000765076854,IL36RN,SLE
10,0.0-0.1,SLE2,0.6520780630415908,IL36RN,SLE
11,0.0-0.1,SLE3,0.6402282819762847,IL36RN,SLE
12,0.0-0.1,SLE4,1.180039214906112,IL36RN,SLE
13,0.0-0.1,SLE5,0.3744344639105468,IL36RN,SLE
14,0.0-0.1,SLE6,0.5090242342379293,IL36RN,SLE
15,0.1-0.2,DLE1,0.24977817165337082,IL36RN,DLE
16,0.1-0.2,DLE2,0.9443978772857491,IL36RN,DLE
17,0.1-0.2,DLE3,1.3612990925602495,IL36RN,DLE
18,0.1-0.2,DLE4,1.018534332685378,IL36RN,DLE
19,0.1-0.2,DLE5,0.49022885747098305,IL36RN,DLE
20,0.1-0.2,HC1,0.11361404991004559,IL36RN,HC
21,0.1-0.2,HC2,0.05787477655634782,IL36RN,HC
22,0.1-0.2,HC3,0.07323124989137501,IL36RN,HC
23,0.1-0.2,HC4,0.12271883176990185,IL36RN,HC
24,0.1-0.2,SLE1,0.3031478039155907,IL36RN,SLE
25,0.1-0.2,SLE2,0.6720435274772579,IL36RN,SLE
26,0.1-0.2,SLE3,0.7936306969748574,IL36RN,SLE
27,0.1-0.2,SLE4,1.3113703625841915,IL36RN,SLE
28,0.1-0.2,SLE5,0.3781955906569439,IL36RN,SLE
29,0.1-0.2,SLE6,0.8436486140113437,IL36RN,SLE
30,0.2-0.3,DLE1,0.09912956810205746,IL36RN,DLE
31,0.2-0.3,DLE2,0.8643127320257559,IL36RN,DLE
32,0.2-0.3,DLE3,1.4479406884663306,IL36RN,DLE
33,0.2-0.3,DLE4,0.7977245866226838,IL36RN,DLE
34,0.2-0.3,DLE5,0.34873731614275955,IL36RN,DLE
35,0.2-0.3,HC1,0.12908353781946852,IL36RN,HC
36,0.2-0.3,HC2,0.04188647957311206,IL36RN,HC
37,0.2-0.3,HC3,0.07181367785938135,IL36RN,HC
38,0.2-0.3,HC4,0.12281949820027194,IL36RN,HC
39,0.2-0.3,SLE1,0.1917284602998773,IL36RN,SLE
40,0.2-0.3,SLE2,0.735864939894325,IL36RN,SLE
41,0.2-0.3,SLE3,0.5862128201896291,IL36RN,SLE
42,0.2-0.3,SLE4,1.1721743081465787,IL36RN,SLE
43,0.2-0.3,SLE5,0.2988553181571913,IL36RN,SLE
44,0.2-0.3,SLE6,0.7016857331634391,IL36RN,SLE
45,0.3-0.4,DLE1,0.06255942937993345,IL36RN,DLE
46,0.3-0.4,DLE2,1.063895134252429,IL36RN,DLE
47,0.3-0.4,DLE3,1.1895950362768857,IL36RN,DLE
48,0.3-0.4,DLE4,0.6320822084961438,IL36RN,DLE
49,0.3-0.4,DLE5,0.24799014382779713,IL36RN,DLE
50,0.3-0.4,HC1,0.06754524469863746,IL36RN,HC
51,0.3-0.4,HC2,0.010517496344655701,IL36RN,HC
52,0.3-0.4,HC3,0.009977489637990297,IL36RN,HC
53,0.3-0.4,HC4,0.0,IL36RN,HC
54,0.3-0.4,SLE1,0.08263428392850825,IL36RN,SLE
55,0.3-0.4,SLE2,0.6104391226743315,IL36RN,SLE
56,0.3-0.4,SLE3,0.5222059623757696,IL36RN,SLE
57,0.3-0.4,SLE4,0.7337122461480408,IL36RN,SLE
58,0.3-0.4,SLE5,0.2779532590727964,IL36RN,SLE
59,0.3-0.4,SLE6,0.4949957959085007,IL36RN,SLE
60,0.4-0.5,DLE1,0.03511513862458537,IL36RN,DLE
61,0.4-0.5,DLE2,0.9624242077890566,IL36RN,DLE
62,0.4-0.5,DLE3,0.9333871156371132,IL36RN,DLE
63,0.4-0.5,DLE4,0.45876560936994976,IL36RN,DLE
64,0.4-0.5,DLE5,0.12184649234486737,IL36RN,DLE
65,0.4-0.5,HC1,0.06421338938979672,IL36RN,HC
66,0.4-0.5,HC2,0.0196576028504983,IL36RN,HC
67,0.4-0.5,HC3,0.029461851539537138,IL36RN,HC
68,0.4-0.5,HC4,0.0,IL36RN,HC
69,0.4-0.5,SLE1,0.028125353955692062,IL36RN,SLE
70,0.4-0.5,SLE2,0.45705624250965,IL36RN,SLE
71,0.4-0.5,SLE3,0.40469862825705594,IL36RN,SLE
72,0.4-0.5,SLE4,0.45546709738840707,IL36RN,SLE
73,0.4-0.5,SLE5,0.12223391921215288,IL36RN,SLE
74,0.4-0.5,SLE6,0.2813231448468791,IL36RN,SLE
75,0.5-0.6,DLE1,0.05471656089382213,IL36RN,DLE
76,0.5-0.6,DLE2,0.9266858884866271,IL36RN,DLE
77,0.5-0.6,DLE3,0.7230606717028351,IL36RN,DLE
78,0.5-0.6,DLE4,0.3022346568265895,IL36RN,DLE
79,0.5-0.6,DLE5,0.05964064950073495,IL36RN,DLE
80,0.5-0.6,HC1,0.030218369827331382,IL36RN,HC
81,0.5-0.6,HC2,0.004287874234166249,IL36RN,HC
82,0.5-0.6,HC3,0.010927175772171487,IL36RN,HC
83,0.5-0.6,HC4,0.03444674941315318,IL36RN,HC
84,0.5-0.6,SLE1,0.030220806170366696,IL36RN,SLE
85,0.5-0.6,SLE2,0.32903222439100716,IL36RN,SLE
86,0.5-0.6,SLE3,0.38172981621792784,IL36RN,SLE
87,0.5-0.6,SLE4,0.291225005204304,IL36RN,SLE
